INFO: Reading-in JSON samples table ...
INFO: Reading-in attractor table ...
INFO: Looking-up the term 'mine'
INFO: Looking-up the term 'mint'
INFO: Looking-up the term 'mold'
INFO: Looking-up the term 'mole'
INFO: Looking-up the term 'mortar'
INFO: Looking-up the term 'move'
INFO: Looking-up the term 'nail'
INFO: Looking-up the term 'note'
INFO: Looking-up the term 'offense'
INFO: Looking-up the term 'organ'
INFO: Looking-up the term 'pack'
INFO: Looking-up the term 'palm'
INFO: Looking-up the term 'pick'
INFO: Looking-up the term 'pitch'
INFO: Looking-up the term 'pitcher'
INFO: Looking-up the term 'plaster'
INFO: Looking-up the term 'plate'
INFO: Looking-up the term 'plot'
INFO: Looking-up the term 'pot'
INFO: Looking-up the term 'present'
INFO: Looking-up the term 'punch'
INFO: Looking-up the term 'quarter'
INFO: Looking-up the term 'race'
INFO: Looking-up the term 'racket'
INFO: Looking-up the term 'record'
INFO: Looking-up the term 'ruler'
INFO: Looking-up the term 'scale'
INFO: Looking-up the term 'seal'
INFO: Looking-up the term 'sewer'
INFO: Looking-up the term 'snare'
INFO: Looking-up the term 'spirit'
INFO: Looking-up the term 'spot'
INFO: Looking-up the term 'spring'
INFO: Looking-up the term 'staff'
INFO: Looking-up the term 'stock'
INFO: Looking-up the term 'subject'
INFO: Looking-up the term 'tank'
INFO: Looking-up the term 'tear'
INFO: Looking-up the term 'term'
INFO: Looking-up the term 'tie'
INFO: Looking-up the term 'toast'
INFO: Looking-up the term 'trunk'
INFO: Looking-up the term 'tube'
INFO: Looking-up the term 'vacuum'
INFO: Looking-up the term 'watch'
INFO: ----------
INFO: Hashing true translations ...
INFO: Looking-up the term 'arm'
INFO: Looking-up the term 'balance'
INFO: Looking-up the term 'band'
INFO: Looking-up the term 'bank'
INFO: Looking-up the term 'bar'
INFO: Looking-up the term 'barrel'
INFO: Looking-up the term 'beam'
INFO: Looking-up the term 'board'
INFO: Looking-up the term 'boot'
INFO: Looking-up the term 'break'
INFO: Looking-up the term 'bug'
INFO: Looked up 10 terms; reporting intermediate statistics:
INFO: --------------------
INFO: Evaluated 179 seed samples
INFO: 120 (67.0391%) seed sentences have been translated CORRECTLY
INFO: 16 (8.9385%) seed sentences have been translated INCORRECTLY with the homograph flipped to the most likely incorrect sense cluster 
INFO: 59 (32.9609%) seed sentences have been translated INCORRECTLY in total
INFO: Looking-up the term 'cabinet'
INFO: Looking-up the term 'capital'
INFO: Looking-up the term 'case'
INFO: Looking-up the term 'cast'
INFO: Looking-up the term 'chair'
INFO: Looking-up the term 'change'
INFO: Looking-up the term 'charge'
INFO: Looking-up the term 'chest'
INFO: Looking-up the term 'chip'
INFO: Looking-up the term 'club'
INFO: Looked up 20 terms; reporting intermediate statistics:
INFO: --------------------
INFO: Evaluated 942 seed samples
INFO: 747 (79.2994%) seed sentences have been translated CORRECTLY
INFO: 56 (5.9448%) seed sentences have been translated INCORRECTLY with the homograph flipped to the most likely incorrect sense cluster 
INFO: 195 (20.7006%) seed sentences have been translated INCORRECTLY in total
INFO: Looking-up the term 'cock'
INFO: Looking-up the term 'counter'
INFO: Looking-up the term 'crane'
INFO: Looking-up the term 'cycle'
INFO: Looking-up the term 'date'
INFO: Looking-up the term 'deck'
INFO: Looking-up the term 'drill'
INFO: Looking-up the term 'drop'
INFO: Looking-up the term 'fall'
INFO: Looking-up the term 'fan'
INFO: Looked up 30 terms; reporting intermediate statistics:
INFO: --------------------
INFO: Evaluated 1299 seed samples
INFO: 982 (75.5966%) seed sentences have been translated CORRECTLY
INFO: 153 (11.7783%) seed sentences have been translated INCORRECTLY with the homograph flipped to the most likely incorrect sense cluster 
INFO: 317 (24.4034%) seed sentences have been translated INCORRECTLY in total
INFO: Looking-up the term 'file'
INFO: Looking-up the term 'film'
INFO: Looking-up the term 'jam'
INFO: Looking-up the term 'lap'
INFO: Looking-up the term 'lead'
INFO: Looking-up the term 'letter'
INFO: Looking-up the term 'lock'
INFO: Looking-up the term 'match'
INFO: Looking-up the term 'mine'
INFO: Looking-up the term 'mold'
INFO: Looked up 40 terms; reporting intermediate statistics:
INFO: --------------------
INFO: Evaluated 1556 seed samples
INFO: 1136 (73.0077%) seed sentences have been translated CORRECTLY
INFO: 185 (11.8895%) seed sentences have been translated INCORRECTLY with the homograph flipped to the most likely incorrect sense cluster 
INFO: 420 (26.9923%) seed sentences have been translated INCORRECTLY in total
INFO: Looking-up the term 'move'
INFO: Looking-up the term 'note'
INFO: Looking-up the term 'offense'
INFO: Looking-up the term 'organ'
INFO: Looking-up the term 'pack'
INFO: Looking-up the term 'palm'
INFO: Looking-up the term 'pitch'
INFO: Looking-up the term 'plaster'
INFO: Looking-up the term 'plate'
INFO: Looking-up the term 'plot'
INFO: Looked up 50 terms; reporting intermediate statistics:
INFO: --------------------
INFO: Evaluated 1723 seed samples
INFO: 1241 (72.0255%) seed sentences have been translated CORRECTLY
INFO: 209 (12.1300%) seed sentences have been translated INCORRECTLY with the homograph flipped to the most likely incorrect sense cluster 
INFO: 482 (27.9745%) seed sentences have been translated INCORRECTLY in total
INFO: Looking-up the term 'pot'
INFO: Looking-up the term 'present'
INFO: Looking-up the term 'race'
INFO: Looking-up the term 'record'
INFO: Looking-up the term 'ruler'
INFO: Looking-up the term 'scale'
INFO: Looking-up the term 'seal'
INFO: Looking-up the term 'spirit'
INFO: Looking-up the term 'spot'
INFO: Looking-up the term 'spring'
INFO: Looked up 60 terms; reporting intermediate statistics:
INFO: --------------------
INFO: Evaluated 2084 seed samples
INFO: 1504 (72.1689%) seed sentences have been translated CORRECTLY
INFO: 254 (12.1881%) seed sentences have been translated INCORRECTLY with the homograph flipped to the most likely incorrect sense cluster 
INFO: 580 (27.8311%) seed sentences have been translated INCORRECTLY in total
INFO: Looking-up the term 'staff'
INFO: Looking-up the term 'stock'
INFO: Looking-up the term 'subject'
INFO: Looking-up the term 'tank'
INFO: Looking-up the term 'term'
INFO: Looking-up the term 'tie'
INFO: Looking-up the term 'trunk'
INFO: Looking-up the term 'tube'
INFO: Looking-up the term 'vacuum'
INFO: Looking-up the term 'watch'
INFO: Looked up 70 terms; reporting intermediate statistics:
INFO: --------------------
INFO: Evaluated 3000 seed samples
INFO: 2141 (71.3667%) seed sentences have been translated CORRECTLY
INFO: 368 (12.2667%) seed sentences have been translated INCORRECTLY with the homograph flipped to the most likely incorrect sense cluster 
INFO: 859 (28.6333%) seed sentences have been translated INCORRECTLY in total
INFO: 


INFO: Looked up 71 terms; reporting FINAL statistics:
INFO: --------------------
INFO: Evaluated 3000 seed samples
INFO: 2141 (71.3667%) seed sentences have been translated CORRECTLY
INFO: 368 (12.2667%) seed sentences have been translated INCORRECTLY with the homograph flipped to the most likely incorrect sense cluster 
INFO: 859 (28.6333%) seed sentences have been translated INCORRECTLY in total
